facility_name,facility_id,npi,city_town,state,zip_code,year,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_20_sample,asc_20_rate,asc_20_footnote
AMBULATORY SURGERY CENTER OF STOCKTON,05C0001508,1245285857,STOCKTON,CA,95204,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,80,100,
THE SURGERY CENTER OF ALTA BATES SUMMIT MEDICAL CENTER LLC,55C0001028,1245327493,OAKLAND,CA,94609,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,1.76,,NA,5,493,No Different Than the National Rate,1.8,1.2,2.6,,170,No Different Than the National Rate,5.5,3.7,8,,NA,NA,5
THE SURGERY CENTER OF ALTA BATES SUMMIT MEDICAL CENTER LLC,55C0001028,1245327493,OAKLAND,CA,94609,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,187,96.3,
NEWPORT BAY SURGERY CENTER,05C0001826,1245372531,NEWPORT BEACH,CA,92663,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.17,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
NEWPORT BAY SURGERY CENTER,05C0001826,1245372531,NEWPORT BEACH,CA,92663,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,49,98,
PACIFIC COAST SPINE INSTITUTE AND PAIN CENTER,05C0001872,1245393602,HUNTINGTON BEACH,CA,92647,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
PACIFIC COAST SPINE INSTITUTE AND PAIN CENTER,05C0001872,1245393602,HUNTINGTON BEACH,CA,92647,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,6,NA,1
MEMORIAL CARE SURGICAL CENTER AT SADDLEBACK LLC,05C0001616,1245575919,LAGUNA WOODS,CA,92637,2022,44.44,,NA,5,265,No Different Than the National Rate,10,7.3,13.8,,100,,NA,5,344,No Different Than the National Rate,2.2,1.5,3.2,,NA,NA,NA,NA,NA,5,NA,NA,5
MEMORIAL CARE SURGICAL CENTER AT SADDLEBACK LLC,05C0001616,1245575919,LAGUNA WOODS,CA,92637,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,71,94.3,
GREATER SACRAMENTO SURGERY CENTER,05C0001033,1255309803,SACRAMENTO,CA,95821,2022,85,,NA,5,421,No Different Than the National Rate,9.9,7.3,13.6,,90.26,,NA,5,38,No Different Than the National Rate,2,1.3,3.1,,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
GREATER SACRAMENTO SURGERY CENTER,05C0001033,1255309803,SACRAMENTO,CA,95821,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,397,89,
SIMI SURGERY CENTER INC,05C0001773,1255354486,SIMI VALLEY,CA,93065,2022,86.11,,NA,5,671,No Different Than the National Rate,11,8.2,14.7,,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
SIMI SURGERY CENTER INC,05C0001773,1255354486,SIMI VALLEY,CA,93065,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,30,100,
OASIS SURGERY CENTER LP,05C0001840,1255429700,PALMDALE,CA,93551,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,63,No Different Than the National Rate,1.9,1.3,3,,NA,NA,NA,NA,NA,5,NA,NA,5
OASIS SURGERY CENTER LP,05C0001840,1255429700,PALMDALE,CA,93551,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,57,82.5,
LYNN EYE SURGICENTER,55C0001003,1255472841,THOUSAND OAKS,CA,91360,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.59,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
LYNN EYE SURGICENTER,55C0001003,1255472841,THOUSAND OAKS,CA,91360,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,17,88.3,
APEX AMBULATORY SURGERY CENTER INC,05C0002229,1255846762,FOSTER CITY,CA,94404,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
APEX AMBULATORY SURGERY CENTER INC,05C0002229,1255846762,FOSTER CITY,CA,94404,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,20,86.8,
SKIN CANCER AND RECONSTRUCTIVE SURGERY CENTER LLC,05C0001905,1265676993,NEWPORT BEACH,CA,92660,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
SKIN CANCER AND RECONSTRUCTIVE SURGERY CENTER LLC,05C0001905,1265676993,NEWPORT BEACH,CA,92660,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
HANCOCK PARK SURGERY CENTER,05C0002093,1265851034,LOS ANGELES,CA,90004,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
HANCOCK PARK SURGERY CENTER,05C0002093,1265851034,LOS ANGELES,CA,90004,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,12,100,
CAPITAL NEPHROLOGY ACCESS CENTER,05C0002208,1275060303,SACRAMENTO,CA,95815,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
CAPITAL NEPHROLOGY ACCESS CENTER,05C0002208,1275060303,SACRAMENTO,CA,95815,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,12,100,
COLIMA ENDOSCOPY CENTER INC,05C0001387,1275522849,ROWLAND HEIGHTS,CA,91748,2022,50,,NA,5,338,No Different Than the National Rate,9.8,7,13.6,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
COLIMA ENDOSCOPY CENTER INC,05C0001387,1275522849,ROWLAND HEIGHTS,CA,91748,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,9,NA,1
COAST SURGERY CENTER LP,05C0001447,1275532889,TORRANCE,CA,90505,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,187,No Different Than the National Rate,2,1.3,3,,NA,NA,NA,NA,NA,5,NA,NA,5
COAST SURGERY CENTER LP,05C0001447,1275532889,TORRANCE,CA,90505,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,54,98.2,
COAST SURGERY CENTER LP,05C0001764,1275532889,TORRANCE,CA,90505,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,187,No Different Than the National Rate,2,1.3,3,,NA,NA,NA,NA,NA,5,NA,NA,5
COAST SURGERY CENTER LP,05C0001764,1275532889,TORRANCE,CA,90505,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,54,98.2,
DIGESTIVE DIAGNOSTIC CENTER INC,05C0002192,1275548158,DALY CITY,CA,94015,2022,NA,5,NA,5,242,No Different Than the National Rate,10.5,7.6,14.7,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
DIGESTIVE DIAGNOSTIC CENTER INC,05C0002192,1275548158,DALY CITY,CA,94015,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
VANTAGE SURGERY CENTER LP,05C0001543,1275594012,SALINAS,CA,93901,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.41,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
VANTAGE SURGERY CENTER LP,05C0001543,1275594012,SALINAS,CA,93901,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,24,100,
SALINAS SURGERY CENTER,05C0001262,1275892481,SALINAS,CA,93901,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,95.38,,0.72,,133,No Different Than the National Rate,2.5,1.6,3.7,,59,No Different Than the National Rate,4.8,3,7.5,,NA,NA,5
SALINAS SURGERY CENTER,05C0001262,1275892481,SALINAS,CA,93901,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,81,100,
TEMECULA CA UNITED SURGERY CENTER LP DBA UNITED SURGERY CENTER TEMECULA,05C0002097,1275951196,TEMECULA,CA,92592,2022,71.43,,NA,5,596,No Different Than the National Rate,10.2,7.4,14.1,,100,,NA,5,NA,NA,NA,NA,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
TEMECULA CA UNITED SURGERY CENTER LP DBA UNITED SURGERY CENTER TEMECULA,05C0002097,1275951196,TEMECULA,CA,92592,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,16,57.2,
PALOS VERDES SKIN SURGERY CTR INC DBA PALOS VERDES DERMATOLOGY SURGERY CENTER INC,05C0002117,1285028803,ROLLING HILLS ESTATES,CA,90274,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
PALOS VERDES SKIN SURGERY CTR INC DBA PALOS VERDES DERMATOLOGY SURGERY CENTER INC,05C0002117,1285028803,ROLLING HILLS ESTATES,CA,90274,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
NEWPORT BEACH CENTER FOR SURGERY LLC,05C0001631,1285664466,NEWPORT BEACH,CA,92660,2022,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
NEWPORT BEACH CENTER FOR SURGERY LLC,05C0001631,1285664466,NEWPORT BEACH,CA,92660,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
MONTEREY PENINSULA SURGERY CENTER MUNRAS AVE,05C0001511,1285872945,MONTEREY,CA,93940,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
MONTEREY PENINSULA SURGERY CENTER MUNRAS AVE,05C0001511,1285872945,MONTEREY,CA,93940,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,35,98.2,
TRINITY SURGICAL SOLUTION INC,05C0002011,1285907188,SAN GABRIEL,CA,91776,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
TRINITY SURGICAL SOLUTION INC,05C0002011,1285907188,SAN GABRIEL,CA,91776,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
TRINITY SURGICAL SOLUTIONS INC,05C0002290,1285907188,LANCASTER,CA,93534,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
TRINITY SURGICAL SOLUTIONS INC,05C0002290,1285907188,LANCASTER,CA,93534,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
RENAISSANCE ASC LLC,05C0001702,1295072049,PALM DESERT,CA,92260,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
RENAISSANCE ASC LLC,05C0001702,1295072049,PALM DESERT,CA,92260,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,17,84.1,
BAY AREA ENDOSCOPY CENTER LLC,05C0001665,1295142511,HAYWARD,CA,94541,2022,86.67,,NA,5,947,No Different Than the National Rate,10.5,7.7,14.2,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
BAY AREA ENDOSCOPY CENTER LLC,05C0001665,1295142511,HAYWARD,CA,94541,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,23,100,
LOS GATOS SURGICAL CENTER A CALIFORNIA LIMITED PARTNERSHIP DBA ENDOSCOPY CENTER OF SILICON VALLEY,05C0001541,1295213734,SAN JOSE,CA,95124,2022,95.24,,NA,5,938,No Different Than the National Rate,10.2,7.5,13.7,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
LOS GATOS SURGICAL CENTER A CALIFORNIA LIMITED PARTNERSHIP DBA ENDOSCOPY CENTER OF SILICON VALLEY,05C0001541,1295213734,SAN JOSE,CA,95124,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,76,87.7,
SURGCENTER OF SAN DIEGO DBA ADVANCED SURGERY CENTER OF NORTH COUNTY,05C0002199,1295246981,ESCONDIDO,CA,92025,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,114,No Different Than the National Rate,2.2,1.5,3.4,,NA,NA,NA,NA,NA,5,NA,NA,5
SURGCENTER OF SAN DIEGO DBA ADVANCED SURGERY CENTER OF NORTH COUNTY,05C0002199,1295246981,ESCONDIDO,CA,92025,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,42,96.7,
90210 SURGERY MEDICAL CENTER LLC,05C0001031,1295769131,BEVERLY HILLS,CA,90210,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,97.99,,0.37,,63,No Different Than the National Rate,2,1.3,3.1,,47,No Different Than the National Rate,5.5,3.5,8.6,,NA,NA,5
90210 SURGERY MEDICAL CENTER LLC,05C0001031,1295769131,BEVERLY HILLS,CA,90210,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,234,100,
ALLAN S WIRTZER,05C0001305,1295792505,SHERMAN OAKS,CA,91403,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
ALLAN S WIRTZER,05C0001305,1295792505,SHERMAN OAKS,CA,91403,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,9,NA,1
ABJ SURGERY CENTER INC,05C0001483,1295824118,SAN MATEO,CA,94401,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
ABJ SURGERY CENTER INC,05C0001483,1295824118,SAN MATEO,CA,94401,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SUMMIT VENTURES OF SANTA BARBARA LP,05C0001506,1295883973,SANTA BARBARA,CA,93105,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SUMMIT VENTURES OF SANTA BARBARA LP,05C0001506,1295883973,SANTA BARBARA,CA,93105,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,89,94.5,
CARRILLO SURGERY CENTER,05C0001754,1295891836,SANTA BARBARA,CA,93101,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,39.47,,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
CARRILLO SURGERY CENTER,05C0001754,1295891836,SANTA BARBARA,CA,93101,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,11,100,
FOLSOM SIERRA ENDOSCOPY CENTER LP,05C0001548,1295897585,FOLSOM,CA,95630,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
FOLSOM SIERRA ENDOSCOPY CENTER LP,05C0001548,1295897585,FOLSOM,CA,95630,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,50,98,
WEST COAST CENTER FOR SURGERIES,05C0001856,1295918977,SAN JUAN CAPISTRANO,CA,92673,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
WEST COAST CENTER FOR SURGERIES,05C0001856,1295918977,SAN JUAN CAPISTRANO,CA,92673,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,15,93.3,
PASADENA PLASTIC SURGERY CENTER INC,05C0001915,1295978401,PASADENA,CA,91107,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,97.33,,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
PASADENA PLASTIC SURGERY CENTER INC,05C0001915,1295978401,PASADENA,CA,91107,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,6,NA,1
PACIFIC COAST SURGICAL CENTER LP,05C0001677,1306031034,TORRANCE,CA,90505,2022,NA,5,NA,5,46,No Different Than the National Rate,10.4,7.4,14.7,,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,51,No Different Than the National Rate,5,3.1,7.8,,NA,NA,5
PACIFIC COAST SURGICAL CENTER LP,05C0001677,1306031034,TORRANCE,CA,90505,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SMART SURGERY CENTER LLC,05C0002016,1306139894,ARCADIA,CA,91006,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,30,No Different Than the National Rate,2.1,1.3,3.3,,NA,NA,NA,NA,NA,5,NA,NA,5
SMART SURGERY CENTER LLC,05C0002016,1306139894,ARCADIA,CA,91006,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SUTTER HEALTH PALO ALTO MEDICAL FOUNDATION,05C0002080,1306241534,FREMONT,CA,94538,2022,83.33,,NA,5,1214,No Different Than the National Rate,10.3,7.6,13.6,,99.82,,0,,89,No Different Than the National Rate,2.1,1.3,3.2,,99,No Different Than the National Rate,4.2,2.6,6.4,,NA,NA,5
SUTTER HEALTH PALO ALTO MEDICAL FOUNDATION,05C0002080,1306241534,FREMONT,CA,94538,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,165,98.8,
DOCTORS SURGERY CENTER OF WESTMINSTER,05C0002174,1306369566,WESTMINSTER,CA,92683,2022,NA,5,NA,5,1223,No Different Than the National Rate,10.7,8.1,14.2,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
DOCTORS SURGERY CENTER OF WESTMINSTER,05C0002174,1306369566,WESTMINSTER,CA,92683,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
CENTRAL COAST CARDIOVASCULAR ASC LLC DBA WEST COAST SURGICAL CENTER,05C0002193,1306375837,OXNARD,CA,93036,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
CENTRAL COAST CARDIOVASCULAR ASC LLC DBA WEST COAST SURGICAL CENTER,05C0002193,1306375837,OXNARD,CA,93036,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,38,100,
NORCAL ANESTHESIA AND PAIN AFFILIATES INC DBA CHICO SURGICAL AFFILIATES,05C0002244,1306475645,CHICO,CA,95926,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
NORCAL ANESTHESIA AND PAIN AFFILIATES INC DBA CHICO SURGICAL AFFILIATES,05C0002244,1306475645,CHICO,CA,95926,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,21,61.9,
SPECIALTY SURGICAL CENTER IRVINE,05C0001671,1306851902,IRVINE,CA,92618,2022,97.92,,NA,5,360,No Different Than the National Rate,11.2,8.1,15.2,,100,,0.29,,125,No Different Than the National Rate,2.1,1.3,3.1,,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
SPECIALTY SURGICAL CENTER IRVINE,05C0001671,1306851902,IRVINE,CA,92618,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,63,97.2,
SUTTER AUBURN SURGERY CENTER,05C0001200,1306881164,AUBURN,CA,95603,2022,92.68,,NA,5,183,No Different Than the National Rate,10.9,7.7,15.2,,100,,0,,145,No Different Than the National Rate,2.4,1.6,3.6,,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
SUTTER AUBURN SURGERY CENTER,05C0001200,1306881164,AUBURN,CA,95603,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,29,77.8,
PACIFIC HILLS SURGERY CENTER LLC,05C0001009,1306993464,LAGUNA HILLS,CA,92653,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,0.42,,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
PACIFIC HILLS SURGERY CENTER LLC,05C0001009,1306993464,LAGUNA HILLS,CA,92653,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,86,95,
WEST WILSHIRE MEDICAL SURGICAL CENTER INC,05C0001570,1316082365,LOS ANGELES,CA,90025,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
WEST WILSHIRE MEDICAL SURGICAL CENTER INC,05C0001570,1316082365,LOS ANGELES,CA,90025,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
CERRITOS SURGERY CENTER,05C0001909,1316190077,CERRITOS,CA,90703,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
CERRITOS SURGERY CENTER,05C0001909,1316190077,CERRITOS,CA,90703,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
EL DORADO SURGERY CENTER LLC,05C0001560,1316192826,PLACERVILLE,CA,95667,2022,NA,5,NA,5,83,No Different Than the National Rate,10.6,7.6,14.9,,100,,0.93,,143,No Different Than the National Rate,2.1,1.4,3.2,,NA,NA,NA,NA,NA,5,NA,NA,5
EL DORADO SURGERY CENTER LLC,05C0001560,1316192826,PLACERVILLE,CA,95667,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,39,94.9,
DESERT VIEW ENDOSCOPY CENTER LLC,05C0001988,1316231020,VICTORVILLE,CA,92395,2022,55.73,,NA,5,701,No Different Than the National Rate,11,8,14.7,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
