facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
050686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",10800 MAGNOLIA AVENUE,RIVERSIDE,CA,92505,RIVERSIDE,(951) 353-2000,95,4,1,97,90,8,2,94,87,11,2,94,83,15,2,93,,2677,790,30,2022-04-01,2023-03-31
050689,SAN RAMON REGIONAL MEDICAL CENTER,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,CONTRA COSTA,(925) 275-9200,96,3,1,98,88,10,2,93,82,13,5,92,84,13,3,93,,1679,481,29,2022-04-01,2023-03-31
050690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,SONOMA,(707) 571-4000,97,3,0,98,90,8,2,94,87,11,2,94,85,13,2,94,,4823,1766,37,2022-04-01,2023-03-31
050696,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,CA,90033,LOS ANGELES,(323) 442-8656,97,3,0,98,92,7,1,95,90,9,1,96,89,9,2,95,,5560,1099,20,2022-04-01,2023-03-31
050701,SOUTHWEST HEALTHCARE SYSTEM,25500 MEDICAL CENTER DRIVE,MURRIETA,CA,92562,RIVERSIDE,(951) 696-6000,95,5,0,97,92,6,2,95,83,15,2,93,81,15,4,92,,2788,703,25,2022-04-01,2023-03-31
050708,FRESNO SURGICAL HOSPITAL,6125 NORTH FRESNO ST,FRESNO,CA,93710,FRESNO,(559) 431-8000,96,3,1,98,91,7,2,95,90,8,2,96,89,9,2,95,,1639,588,36,2022-04-01,2023-03-31
050710,KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO ST,FRESNO,CA,93720,FRESNO,(559) 448-4500,97,3,0,98,92,7,1,95,88,11,1,95,84,13,3,93,,3135,864,28,2022-04-01,2023-03-31
050717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 401-7022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
050723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,LOS ANGELES,(626) 851-1011,97,2,1,98,92,7,1,95,91,8,1,96,88,10,2,95,,5230,1584,30,2022-04-01,2023-03-31
050735,WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA RD,WHITTIER,CA,90605,LOS ANGELES,(562) 945-3561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,LOS ANGELES,(626) 570-9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050737,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,CA,91754,LOS ANGELES,(626) 573-2222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050738,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVE,SOUTH EL MONTE,CA,91733,LOS ANGELES,(626) 350-7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050744,ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,CA,92805,ORANGE,(714) 533-6220,88,10,2,93,80,14,6,87,73,16,11,86,67,23,10,84,,1132,116,10,2022-04-01,2023-03-31
050745,CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVE,ORANGE,CA,92869,ORANGE,(714) 633-0011,94,5,1,96,88,9,3,92,74,16,10,88,75,19,6,89,,799,117,15,2022-04-01,2023-03-31
050746,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 NORTH TUSTIN AVENUE,SANTA ANA,CA,92705,ORANGE,(714) 953-3610,91,7,2,94,82,12,6,88,75,18,7,89,67,23,10,84,,2375,279,12,2022-04-01,2023-03-31
050747,COASTAL COMMUNITIES HOSPITAL,2701 S BRISTOL ST,SANTA ANA,CA,92704,ORANGE,(714) 754-5454,94,6,0,97,89,10,1,94,76,23,1,92,71,26,3,89,3,1006,81,8,2022-04-01,2023-03-31
050748,KAISER FOUNDATION HOSPITAL MANTECA,1777 WEST YOSEMITE AVE,MANTECA,CA,95337,SAN JOAQUIN,(209) 825-3700,97,2,1,98,91,7,2,94,87,11,2,94,83,14,3,93,,8674,2329,27,2022-04-01,2023-03-31
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,4501 SAND CREEK ROAD,ANTIOCH,CA,94531,CONTRA COSTA,(925) 813-6500,97,2,1,98,93,5,2,96,89,9,2,95,87,10,3,94,,2293,802,35,2022-04-01,2023-03-31
050761,PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,LOS ANGELES,(818) 881-0800,92,6,2,95,86,9,5,91,75,18,7,90,74,20,6,89,,1996,411,21,2022-04-01,2023-03-31
050765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,CA,92555,RIVERSIDE,(951) 251-6000,95,4,1,97,93,6,1,96,87,10,3,94,84,13,3,93,,2083,653,31,2022-04-01,2023-03-31
050767,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,VACAVILLE,CA,95688,SOLANO,(707) 624-4000,97,3,0,98,92,6,2,95,88,10,2,95,86,12,2,94,,2395,902,38,2022-04-01,2023-03-31
050769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,(949) 727-5000,98,2,0,99,94,5,1,97,95,4,1,97,94,4,2,97,,2089,1004,49,2022-04-01,2023-03-31
050772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,CA,95661,PLACER,(916) 784-4000,96,3,1,98,91,8,1,95,88,10,2,95,86,11,3,94,,4990,1795,36,2022-04-01,2023-03-31
050775,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,CA,92592,RIVERSIDE,(951) 331-2200,98,1,1,99,88,10,2,93,86,12,2,94,85,13,2,94,,2438,709,29,2022-04-01,2023-03-31
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,ALAMEDA,(510) 454-1000,95,4,1,97,90,7,3,94,84,12,4,93,81,15,4,92,,3073,858,28,2022-04-01,2023-03-31
050785,DOCS SURGICAL HOSPITAL,6000 SAN VICENTE BLVD,LOS ANGELES,CA,90036,LOS ANGELES,(323) 930-1040,96,4,0,98,91,7,2,95,86,4,10,91,85,9,6,93,3,104,19,18,2022-04-01,2023-03-31
051316,FAIRCHILD MEDICAL CENTER,444 BRUCE STREET,YREKA,CA,96097,SISKIYOU,(530) 842-4121,98,2,0,99,92,7,1,96,82,16,2,93,72,27,1,90,,1303,381,29,2022-04-01,2023-03-31
051318,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,FORTUNA,CA,95540,HUMBOLDT,(707) 445-8121,97,3,0,99,92,6,2,95,81,18,1,93,79,19,2,92,,1172,279,24,2022-04-01,2023-03-31
051321,HEALDSBURG HOSPITAL,1375 UNIVERSITY AVENUE,HEALDSBURG,CA,95448,SONOMA,(707) 431-6500,96,4,0,98,90,7,3,94,82,15,3,93,81,15,4,92,,816,214,26,2022-04-01,2023-03-31
051331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,SOLVANG,CA,93463,SANTA BARBARA,(805) 688-6431,98,2,0,99,93,6,1,96,90,9,1,96,93,6,1,97,,640,245,38,2022-04-01,2023-03-31
051337,HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DRIVE,HOLLISTER,CA,95023,SAN BENITO,(831) 637-5711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
053309,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-8001,100,0,0,100,97,2,1,98,100,0,0,97,99,1,0,100,1,146,4,9,2022-04-01,2023-03-31
