fiscal_year,facility_id,facility_name,address,city_town,state,zip_code,county_parish,mort_30_ami_achievement_threshold,mort_30_ami_benchmark,mort_30_ami_baseline_rate,mort_30_ami_performance_rate,mort_30_ami_achievement_points,mort_30_ami_achievement_points_base,mort_30_ami_improvement_points,mort_30_ami_improvement_points_base,mort_30_ami_measure_score,mort_30_ami_measure_score_base,mort_30_hf_achievement_threshold,mort_30_hf_benchmark,mort_30_hf_baseline_rate,mort_30_hf_performance_rate,mort_30_hf_achievement_points,mort_30_hf_achievement_points_base,mort_30_hf_improvement_points,mort_30_hf_improvement_points_base,mort_30_hf_measure_score,mort_30_hf_measure_score_base,mort_30_pn_achievement_threshold,mort_30_pn_benchmark,mort_30_pn_baseline_rate,mort_30_pn_performance_rate,mort_30_copd_achievement_threshold,mort_30_copd_benchmark,mort_30_copd_baseline_rate,mort_30_copd_performance_rate,mort_30_copd_achievement_points,mort_30_copd_achievement_points_base,mort_30_copd_improvement_points,mort_30_copd_improvement_points_base,mort_30_copd_measure_score,mort_30_copd_measure_score_base,mort_30_cabg_achievement_threshold,mort_30_cabg_benchmark,mort_30_cabg_baseline_rate,mort_30_cabg_performance_rate,mort_30_cabg_achievement_points,mort_30_cabg_achievement_points_base,mort_30_cabg_improvement_points,mort_30_cabg_improvement_points_base,mort_30_cabg_measure_score,mort_30_cabg_measure_score_base,comp_hip_knee_achievement_threshold,comp_hip_knee_benchmark,comp_hip_knee_baseline_rate,comp_hip_knee_performance_rate,comp_hip_knee_achievement_points,comp_hip_knee_achievement_points_base,comp_hip_knee_improvement_points,comp_hip_knee_improvement_points_base,comp_hip_knee_measure_score,comp_hip_knee_measure_score_base
2023,050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,RIVERSIDE,CA,92503,RIVERSIDE,0.866548,0.885499,0.865052,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.893694,0.893655,5,out of 10,0,out of 9,5,out of 10,0.840138,0.871741,0.847018,0.832433,0.919769,0.936349,0.922206,0.910252,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.023119,0.025565,3,out of 10,0,out of 9,3,out of 10
2023,050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,0.866548,0.885499,0.864983,0.868989,2,out of 10,1,out of 9,2,out of 10,0.881939,0.906798,0.895186,0.895415,5,out of 10,0,out of 9,5,out of 10,0.840138,0.871741,0.884001,0.846905,0.919769,0.936349,0.929353,0.91096,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.029025,0.022133,7,out of 10,7,out of 9,7,out of 10
2023,050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,0.866548,0.885499,0.868613,0.887999,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.907685,0.891504,4,out of 10,0,out of 9,4,out of 10,0.840138,0.871741,0.867942,0.855578,0.919769,0.936349,0.923641,0.924615,3,out of 10,0,out of 9,3,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050107,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,93454,SANTA BARBARA,0.866548,0.885499,0.879513,0.861666,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.846956,0.873173,0,out of 10,4,out of 9,4,out of 10,0.840138,0.871741,0.813034,0.846302,0.919769,0.936349,0.896203,0.911641,0,out of 10,3,out of 9,3,out of 10,0.968747,0.97962,0.973278,0.961263,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.02204,0.022698,6,out of 10,0,out of 9,6,out of 10
2023,050108,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,95816,SACRAMENTO,0.866548,0.885499,0.876882,0.885416,9,out of 10,9,out of 9,9,out of 10,0.881939,0.906798,0.873822,0.873229,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.843545,0.813532,0.919769,0.936349,0.916483,0.918439,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.980045,0.981772,10,out of 10,9,out of 9,10,out of 10,0.027428,0.019779,0.02381,0.019451,10,out of 10,9,out of 9,10,out of 10
2023,050110,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,LOMPOC,CA,93436,SANTA BARBARA,0.866548,0.885499,0.870228,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.850093,0.86277,0,out of 10,2,out of 9,2,out of 10,0.840138,0.871741,0.826398,0.825731,0.919769,0.936349,0.910244,0.91442,0,out of 10,1,out of 9,1,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.027054,0.021563,7,out of 10,7,out of 9,7,out of 10
2023,050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,0.866548,0.885499,0.872348,0.886179,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.911384,0.923361,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.879527,0.875438,0.919769,0.936349,0.943706,0.928422,5,out of 10,0,out of 9,5,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.034682,0.028356,0,out of 10,4,out of 9,4,out of 10
2023,050115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 EAST VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,0.866548,0.885499,0.848603,0.845093,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.876356,0.896862,6,out of 10,6,out of 9,6,out of 10,0.840138,0.871741,0.830315,0.841553,0.919769,0.936349,0.918195,0.915713,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.971179,0.971461,3,out of 10,0,out of 9,3,out of 10,0.027428,0.019779,0.021653,0.021663,7,out of 10,0,out of 9,7,out of 10
2023,050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,0.866548,0.885499,0.86534199999999994,0.872046,3,out of 10,3,out of 9,3,out of 10,0.881939,0.906798,0.883153,0.879375,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.828813,0.812058,0.919769,0.936349,0.894792,0.905703,0,out of 10,2,out of 9,2,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.025081,NA,NA,NA,NA,NA,NA,NA
2023,050121,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230,KINGS,0.866548,0.885499,0.861123,0.874697,4,out of 10,5,out of 9,5,out of 10,0.881939,0.906798,0.878265,0.868313,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.796822,0.787417,0.919769,0.936349,0.900944,0.903937,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.027295,0.021768,7,out of 10,7,out of 9,7,out of 10
2023,050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,0.866548,0.885499,0.873509,0.854527,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.856468,0.867139,0,out of 10,2,out of 9,2,out of 10,0.840138,0.871741,0.828972,0.802497,0.919769,0.936349,0.921593,0.918891,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,0.953944,0,out of 10,NA,NA,0,out of 10,0.027428,0.019779,0.024736,0.017656,10,out of 10,9,out of 9,10,out of 10
2023,050124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91208,LOS ANGELES,0.866548,0.885499,0.86014,0.886264,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.88399,0.884481,1,out of 10,0,out of 9,1,out of 10,0.840138,0.871741,0.831813,0.842818,0.919769,0.936349,0.926504,0.916989,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.027996,0.021288,8,out of 10,8,out of 9,8,out of 10
2023,050125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,0.866548,0.885499,0.871829,0.87589,5,out of 10,2,out of 9,5,out of 10,0.881939,0.906798,0.89811,0.907191,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.844402,0.830122,0.919769,0.936349,0.932245,0.908763,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.970121,0.976472,7,out of 10,6,out of 9,7,out of 10,0.027428,0.019779,0.033849,NA,NA,NA,NA,NA,NA,NA
2023,050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,0.866548,0.885499,0.87384,0.860272,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.906763,0.910718,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.853443,0.867189,0.919769,0.936349,0.926364,0.920659,1,out of 10,0,out of 9,1,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.02421,0.024457,4,out of 10,0,out of 9,4,out of 10
2023,050127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.867976,0.86061,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.799737,0.797332,0.919769,0.936349,0.895858,0.908127,0,out of 10,3,out of 9,3,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.023339,0.026409,2,out of 10,0,out of 9,2,out of 10
2023,050128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,0.866548,0.885499,0.864614,0.882017,8,out of 10,8,out of 9,8,out of 10,0.881939,0.906798,0.867476,0.889117,3,out of 10,5,out of 9,5,out of 10,0.840138,0.871741,0.821002,0.8336,0.919769,0.936349,0.893825,0.918905,0,out of 10,5,out of 9,5,out of 10,0.968747,0.97962,0.957099,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.031765,0.02335,5,out of 10,7,out of 9,7,out of 10
2023,050131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.871858,0.865725,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.861653,0.823892,0.919769,0.936349,0.921779,0.917225,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.023487,0.022006,7,out of 10,3,out of 9,7,out of 10
2023,050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,0.866548,0.885499,0.881558,0.871188,3,out of 10,0,out of 9,3,out of 10,0.881939,0.906798,0.917817,0.895909,6,out of 10,0,out of 9,6,out of 10,0.840138,0.871741,0.88882,0.876216,0.919769,0.936349,0.93661,0.924273,3,out of 10,0,out of 9,3,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.028314,0.023963,5,out of 10,5,out of 9,5,out of 10
2023,050133,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,CA,95901,YUBA,0.866548,0.885499,0.863628,0.877726,6,out of 10,6,out of 9,6,out of 10,0.881939,0.906798,0.854217,0.881381,0,out of 10,5,out of 9,5,out of 10,0.840138,0.871741,0.807004,0.811294,0.919769,0.936349,0.915283,0.910018,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.963595,0.95966,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.029372,0.022464,6,out of 10,7,out of 9,7,out of 10
2023,050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,0.866548,0.885499,0.879486,0.878839,6,out of 10,0,out of 9,6,out of 10,0.881939,0.906798,0.921406,0.917032,10,out of 10,0,out of 9,10,out of 10,0.840138,0.871741,0.907598,0.906679,0.919769,0.936349,0.951176,0.939191,10,out of 10,0,out of 9,10,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,0.866548,0.885499,0.867814,0.878988,6,out of 10,6,out of 9,6,out of 10,0.881939,0.906798,0.893653,0.901284,8,out of 10,5,out of 9,8,out of 10,0.840138,0.871741,0.842202,0.857691,0.919769,0.936349,0.914029,0.919244,0,out of 10,2,out of 9,2,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.024797,0.031222,0,out of 10,0,out of 9,0,out of 10
2023,050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,NA,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,NA,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,0.843947,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,0.866548,0.885499,0.864553,0.875099,5,out of 10,5,out of 9,5,out of 10,0.881939,0.906798,0.877331,0.900697,7,out of 10,7,out of 9,7,out of 10,0.840138,0.871741,0.843053,0.833652,0.919769,0.936349,0.927891,0.923979,3,out of 10,0,out of 9,3,out of 10,0.968747,0.97962,0.97115,0.959391,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.034043,0.030236,0,out of 10,2,out of 9,2,out of 10
2023,050150,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,NEVADA,0.866548,0.885499,0.862937,0.865759,0,out of 10,1,out of 9,1,out of 10,0.881939,0.906798,0.881302,0.896813,6,out of 10,6,out of 9,6,out of 10,0.840138,0.871741,0.845144,0.841227,0.919769,0.936349,0.925103,0.916341,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.025678,0.024547,4,out of 10,1,out of 9,4,out of 10
2023,050152,SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST,SAN FRANCISCO,CA,94109,SAN FRANCISCO,0.866548,0.885499,0.868052,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.890169,0.881477,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.856559,0.846068,0.919769,0.936349,0.910911,0.92316,2,out of 10,4,out of 9,4,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.025909,0.025733,2,out of 10,0,out of 9,2,out of 10
2023,050158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,CA,91436,LOS ANGELES,0.866548,0.885499,0.883938,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.911179,0.91208,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.876712,0.886021,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050159,VENTURA COUNTY MEDICAL CENTER,300 HILLMONT AVENUE,VENTURA,CA,93003,VENTURA,0.866548,0.885499,0.858874,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.888543,0.884659,1,out of 10,0,out of 9,1,out of 10,0.840138,0.871741,0.819263,0.830366,0.919769,0.936349,0.918097,0.904713,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.024911,0.022123,7,out of 10,5,out of 9,7,out of 10
2023,050167,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.88167,0.891147,4,out of 10,3,out of 9,4,out of 10,0.840138,0.871741,0.829301,0.825488,0.919769,0.936349,0.906238,0.914573,0,out of 10,2,out of 9,2,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050168,PROVIDENCE ST. JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,ORANGE,0.866548,0.885499,0.867905,0.873719,4,out of 10,3,out of 9,4,out of 10,0.881939,0.906798,0.8721,0.892569,4,out of 10,5,out of 9,5,out of 10,0.840138,0.871741,0.835109,0.832498,0.919769,0.936349,0.903746,0.900031,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.975061,0.974637,5,out of 10,0,out of 9,5,out of 10,0.027428,0.019779,0.026775,0.037509,0,out of 10,0,out of 9,0,out of 10
2023,050169,PIH HEALTH HOSPITAL-WHITTIER,12401 WASHINGTON BLVD,WHITTIER,CA,90602,LOS ANGELES,0.866548,0.885499,0.871308,0.884044,9,out of 10,8,out of 9,9,out of 10,0.881939,0.906798,0.907876,0.891876,4,out of 10,0,out of 9,4,out of 10,0.840138,0.871741,0.875732,0.832916,0.919769,0.936349,0.935558,0.921801,2,out of 10,0,out of 9,2,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.026191,0.020657,8,out of 10,8,out of 9,8,out of 10
2023,050174,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,SONOMA,0.866548,0.885499,0.866116,0.885826,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.884313,0.880185,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.82235,0.832534,0.919769,0.936349,0.913785,0.899583,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.977842,0.975785,6,out of 10,0,out of 9,6,out of 10,0.027428,0.019779,0.026893,0.021813,7,out of 10,7,out of 9,7,out of 10
2023,050179,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,95382,STANISLAUS,0.866548,0.885499,0.875074,0.878363,6,out of 10,3,out of 9,6,out of 10,0.881939,0.906798,0.880441,0.896294,6,out of 10,6,out of 9,6,out of 10,0.840138,0.871741,0.84064,0.789489,0.919769,0.936349,0.896505,0.924127,3,out of 10,6,out of 9,6,out of 10,0.968747,0.97962,0.974519,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.034948,0.027851,0,out of 10,4,out of 9,4,out of 10
2023,050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,0.866548,0.885499,0.872862,0.869997,2,out of 10,0,out of 9,2,out of 10,0.881939,0.906798,0.891751,0.904711,9,out of 10,8,out of 9,9,out of 10,0.840138,0.871741,0.847018,0.853746,0.919769,0.936349,0.922694,0.926322,4,out of 10,2,out of 9,4,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.022279,0.020437,9,out of 10,7,out of 9,9,out of 10
2023,050194,WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,WATSONVILLE,CA,95076,SANTA CRUZ,0.866548,0.885499,0.866404,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.857653,0.865206,0,out of 10,1,out of 9,1,out of 10,0.840138,0.871741,0.835706,0.772164,0.919769,0.936349,0.893052,0.904394,0,out of 10,2,out of 9,2,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.027732,NA,NA,NA,NA,NA,NA,NA
2023,050195,WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,94538,ALAMEDA,0.866548,0.885499,0.886711,0.884583,9,out of 10,0,out of 9,9,out of 10,0.881939,0.906798,0.891597,0.870677,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.850357,0.794804,0.919769,0.936349,0.920565,0.911492,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.970445,0.972769,4,out of 10,2,out of 9,4,out of 10,0.027428,0.019779,0.018097,0.018477,10,out of 10,0,out of 9,10,out of 10
2023,050197,SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,94062,SAN MATEO,0.866548,0.885499,0.867876,0.887249,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.88144,0.88664,2,out of 10,2,out of 9,2,out of 10,0.840138,0.871741,0.84976,0.878034,0.919769,0.936349,0.93601,0.918091,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.973588,0.977333,8,out of 10,6,out of 9,8,out of 10,0.027428,0.019779,0.023149,0.015545,10,out of 10,9,out of 9,10,out of 10
2023,050204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,LOS ANGELES,0.866548,0.885499,0.884174,0.854819,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.881069,0.896865,6,out of 10,6,out of 9,6,out of 10,0.840138,0.871741,0.842994,0.805164,0.919769,0.936349,0.917518,0.901462,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.028381,0.046733,0,out of 10,0,out of 9,0,out of 10
2023,050211,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,ALAMEDA,CA,94501,ALAMEDA,0.866548,0.885499,0.868616,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.896765,0.8889,3,out of 10,0,out of 9,3,out of 10,0.840138,0.871741,0.82572,0.832802,0.919769,0.936349,0.935309,0.92857,5,out of 10,0,out of 9,5,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.025216,NA,NA,NA,NA,NA,NA,NA
2023,050222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,SAN DIEGO,0.866548,0.885499,0.854481,0.877256,6,out of 10,7,out of 9,7,out of 10,0.881939,0.906798,0.901858,0.916917,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.854208,0.854215,0.919769,0.936349,0.94052500000000006,0.924014,3,out of 10,0,out of 9,3,out of 10,0.968747,0.97962,0.964827,0.970715,2,out of 10,3,out of 9,3,out of 10,0.027428,0.019779,0.024949,0.022539,6,out of 10,4,out of 9,6,out of 10
2023,050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,0.866548,0.885499,0.863016,0.876844,5,out of 10,6,out of 9,6,out of 10,0.881939,0.906798,0.880146,0.884526,1,out of 10,1,out of 9,1,out of 10,0.840138,0.871741,0.870148,0.832686,0.919769,0.936349,0.924862,0.915611,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.980552,0.978875,9,out of 10,0,out of 9,9,out of 10,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,ORANGE,0.866548,0.885499,0.860829,0.878279,6,out of 10,7,out of 9,7,out of 10,0.881939,0.906798,0.895208,0.897136,6,out of 10,1,out of 9,6,out of 10,0.840138,0.871741,0.865267,0.847763,0.919769,0.936349,0.925199,0.913457,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.969562,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.025754,0.021808,7,out of 10,6,out of 9,7,out of 10
2023,050228,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,1001 POTRERO AVENUE,SAN FRANCISCO,CA,94110,SAN FRANCISCO,0.866548,0.885499,0.858578,0.872396,3,out of 10,5,out of 9,5,out of 10,0.881939,0.906798,0.877192,0.883243,1,out of 10,2,out of 9,2,out of 10,0.840138,0.871741,0.825612,0.862032,0.919769,0.936349,0.931956,0.927934,5,out of 10,0,out of 9,5,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.02951,0.023369,5,out of 10,6,out of 9,6,out of 10
2023,050230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843,ORANGE,0.866548,0.885499,0.867693,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.913565,0.898528,7,out of 10,0,out of 9,7,out of 10,0.840138,0.871741,0.888916,0.849714,0.919769,0.936349,0.919647,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,LOS ANGELES,0.866548,0.885499,0.862572,0.88395,9,out of 10,9,out of 9,9,out of 10,0.881939,0.906798,0.8837,0.887702,3,out of 10,1,out of 9,3,out of 10,0.840138,0.871741,0.814108,0.860463,0.919769,0.936349,0.927554,0.902242,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.970281,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.030608,0.022352,6,out of 10,7,out of 9,7,out of 10
